"116","3","1",,"19","158","6","NUM",NULL,
"117","3","1",,"20","164","3","NUM",NULL,
"118","3","1",,"21","167","5","NUM","13",
"119","3","1",,"22","172","20","ALFA",NULL,
"120","3","1",,"23","192","20","ALFA",NULL,
"121","3","1",,"24","212","4","ALFA",NULL,
"122","3","1",,"25","216","25","ALFA",NULL,
"123","3","7",,"1","1","3","NUM","26",
"124","3","7",,"2","4","4","NUM",NULL,
"125","3","7",,"3","8","1","NUM","1","9"
"126","3","7",,"4","9","9","ALFA",NULL,
"127","3","7",,"5","18","6","NUM",NULL,
"128","3","7",,"6","24","6","NUM",NULL,
"129","3","7",,"7","30","6","ALFA",NULL,
"130","3","7",,"8","36","205","ALFA",NULL,
"131","3","2",,"1","1","3","NUM","26",
"132","3","2",,"2","4","4","NUM",NULL,
"133","3","2",,"3","8","1","NUM","1","1"
"134","3","2",,"4","9","1","ALFA",NULL,
"135","3","2",,"5","10","2","NUM",NULL,
"136","3","2",,"6","12","2","NUM",NULL,
"137","3","2",,"7","14","3","NUM",NULL,"030"
"138","3","2",,"8","17","1","ALFA",NULL,
"139","3","2",,"9","18","1","NUM","17",
"140","3","2",,"10","19","15","NUM","44",
"141","3","2",,"11","34","6","NUM",NULL,
"142","3","2",,"12","40","14","NUM",NULL,
"143","3","2",,"13","54","5","NUM","3",
"144","3","2",,"14","59","1","ALFA",NULL,
"145","3","2",,"15","60","6","NUM",NULL,
"146","3","2",,"16","66","7","NUM",NULL,
"147","3","2",,"17","73","1","NUM",NULL,
"148","3","2",,"18","74","30","ALFA","6",
"149","3","2",,"19","104","40","ALFA",NULL,
"150","3","2",,"20","144","40","ALFA",NULL,
"151","3","2",,"21","184","8","NUM",NULL,
"152","3","2",,"22","192","8","DT8",NULL,
"153","3","2",,"23","200","8","DT8","15",
"154","3","2",,"24","208","33","ALFA",NULL,
"155","3","4",,"1","1","3","ALFA","10",
"156","3","4",,"2","4","4","NUM","3",
"157","3","4",,"3","8","1","NUM","1","3"
"158","3","4",,"4","9","5","NUM","16",
"159","3","4",,"5","14","1","ALFA","46","T"
"160","3","4",,"6","15","1","ALFA",NULL,
"161","3","4",,"7","16","2","NUM",NULL,
"162","3","4",,"8","18","5","NUM","3",
"163","3","4",,"9","23","1","NUM",NULL,
"164","3","4",,"10","24","6","NUM","45",
"165","3","4",,"11","30","3","NUM",NULL,
"166","3","4",,"12","33","3","NUM",NULL,
"167","3","4",,"13","36","4","NUM",NULL,
"168","3","4",,"14","40","17","ALFA","18",
"169","3","4",,"15","57","1","ALFA",NULL,
"170","3","4",,"16","58","1","NUM","19",
"171","3","4",,"17","59","11","ALFA","23",
"172","3","4",,"18","70","4","ALFA",NULL,
"173","3","4",,"19","74","8","DT8","24",
"174","3","4",,"20","82","15","DIN","34",
"175","3","4",,"21","97","3","NUM","26",
"176","3","4",,"22","100","5","NUM","27",
"177","3","4",,"23","105","1","NUM",NULL,
"178","3","4",,"24","106","25","ALFA",NULL,
"179","3","4",,"25","131","2","NUM",NULL,
"180","3","4",,"26","133","1","NUM",NULL,
"181","3","4",,"27","134","15","ALFA",NULL,
"182","3","4",,"28","149","40","ALFA","38",
"183","3","4",,"29","189","10","ALFA",NULL,
"184","3","4",,"30","199","15","DIN","30",
"185","3","4",,"31","214","10","ALFA",NULL,
"186","3","4",,"32","224","17","ALFA",NULL,
"187","3","13",,"1","1","3","NUM","10",
"188","3","13",,"2","4","4","NUM",NULL,
"189","3","13",,"3","8","1","NUM","1","3"
"190","3","13",,"4","9","5","NUM","16",
"191","3","13",,"5","14","1","ALFA","46","U"
"192","3","13",,"6","15","1","ALFA",NULL,
"193","3","13",,"7","16","2","NUM","40",
"194","3","13",,"8","18","15","DIN","35",
"195","3","13",,"9","33","15","DIN","32",
"196","3","13",,"10","48","15","DIN","33",
"197","3","13",,"11","63","15","DIN","31",
"198","3","13",,"12","78","15","DIN","25",
"199","3","13",,"13","93","15","DIN","47",
"200","3","13",,"14","108","15","DIN","48",
"201","3","13",,"15","123","15","DIN","36",
"202","3","13",,"16","138","8","DT8","22",
"203","3","13",,"17","146","8","DT8","15",
"204","3","13",,"18","154","4","NUM",NULL,
"205","3","13",,"19","158","8","DT8",NULL,
"206","3","13",,"20","166","15","NUM",NULL,
"207","3","13",,"21","181","30","NUM",NULL,
"208","3","13",,"22","211","3","NUM",NULL,
"209","3","13",,"23","214","20","NUM",NULL,
"210","3","13",,"24","234","7","ALFA",NULL,
"211","3","6",,"1","1","3","NUM","10",
"212","3","6",,"2","4","4","NUM",NULL,
"213","3","6",,"3","8","1","NUM","1","5"
"214","3","6",,"4","9","9","ALFA",NULL,
"215","3","6",,"5","18","6","NUM",NULL,
"216","3","6",,"6","24","6","NUM",NULL,
"217","3","6",,"7","30","17","DIN",NULL,
"218","3","6",,"8","47","6","NUM",NULL,
"219","3","6",,"9","53","17","DIN",NULL,
"220","3","6",,"10","70","6","NUM",NULL,
"221","3","6",,"11","76","17","DIN",NULL,
"222","3","6",,"12","93","31","ALFA",NULL,
"223","3","6",,"13","124","117","ALFA",NULL,
