"1081","Convidados","Convidados","M",,"0","fa fa-envelope-o",NULL,"4","0","1"
"1082","Lista de convidados","Lista de convidados","L","convidadoLis.php","1","fa fa-align-justify","1081","4","0","1"
"1083","Movimentações","Movimentações financeiras","M",,"1","fa fa-exchange","1044","5","0","1"
"1085","Contas a Pagar","Contas a Pagar","M",,"2","fa fa-money red","1083","5","0","1"
"1086","Contas a Receber","Contas a Receber","M",,"2","fa fa-money green","1083","5","0","1"
"1087","Transferências","Transferências","M",,"2","fa fa-exchange","1083","5","0","1"
"1088","Nova conta","Cadastrar nova conta a pagar","L","contaPagarCad.php","3","fa fa-plus","1085","5","0","1"
"1089","Listar todas","listar todas as contas a pagar","L","contaPagarLis.php","3","fa fa-search","1085","5","0","1"
"1090","Nova conta","Cadastrar nova contas a receber","L","contaReceberCad.php","3","fa fa-plus","1086","5","0","1"
"1091","Listar todas","Listar todas as contas a receber","L","contaReceberLis.php","3","fa fa-plus","1086","5","0","1"
"1092","Nova transferência","Cadastrar nova transferência","L","transferenciaCad.php","3","fa fa-plus","1087","5","0","1"
"1093","Listar todas","Listar todas as transferências","L","transferenciaLis.php","3","fa fa-search","1087","5","0","1"
"1094","Relatórios","Relatórios Financeiros","M",,"1","fa fa-file-text-o","1044","5","0","1"
"1095","Analíticos","Relatórios financeiros analíticos","M",,"2",,"1094","5","0","1"
"1096","Sintéticos","Relatórios financeiros sintéticos","M",,"2","fa fa-bar-chart","1094","5","0","1"
"1097","Lançamentos por Categoria","Lançamentos por Categoria","L","relAnLancamentoCategoria.php","3",,"1095","5","0","1"
"1098","Lançamentos por Centro de","Lançamentos por Centro de Custo","L","relAnLancamentoCentroCusto.php","3",,"1095","5","0","1"
"1099","Lançamentos por venciment","Lançamentos por vencimento","L","relAnLancamentoVencimento.php","3",,"1095","5","0","1"
"1100","Contas a Pagar x Receber","Contas a Pagar x Receber","L","relAnContaPagXRec.php","3",,"1095","5","0","1"
"1101","Resumo por Categoria","Resumo por Categoria","L","relSiResumoCategoria.php","3",,"1096","5","0","1"
"1102","Resumo por Centro de Cust","Resumo por Centro de Custo","L","relSiResumoCentroCusto.php","3",,"1096","5","0","1"
"1103","Fluxo de Caixa","Fluxo de Caixa","L","relSiFluxoCaixa.php","3",,"1096","5","0","1"
"1104","Eventos","Lista de enventos","L","eventoAgendarLis.php","1","fa fa-calendar","1079","4","0","1"
"1105","WhatsApp","WhatsApp","M",,"0","fa fa-whatsapp",NULL,"7","0","1"
"1106","Configuar CHIP","Configuração de CHIP","L","chipLis.php","1","fa fa-ticket","1105","7","0","1"
"1107","Geração de boletos","Geração de boletos","L","geraBoletoLis.php","2","fa fa-file-pdf-o","1083","5","0","1"
